part	item	common_name	scientific	condition	import_area	possess_area	transport_area	release_area
2	1	Grass carp	Ctenopharyngodon idella	Dead and eviscerated	Canada	Canada	Canada	Canada
2	2	Bighead carp	Hypophthalmichthys nobilis	Dead and eviscerated	Canada	Canada	Canada	Canada
2	3	Silver carp	Hypophthalmichthys molitrix	Dead and eviscerated	Canada	Canada	Canada	Canada
2	4	Black carp	Mylopharyngodon piceus	Dead and eviscerated	Canada	Canada	Canada	Canada
2	5	Zebra mussel	Dreissena polymorpha		Canada, except in (a) the transboundary waters in Ontario, downstream of the bridge crossing the Pigeon River located at 48°00 ′ 05.1 ″ N 89°35 ′ 06.8 ″ W;	British Columbia, Alberta, Saskatchewan and Manitoba	British Columbia, Alberta, Saskatchewan and Manitoba	British Columbia, Alberta, Saskatchewan and Manitoba
2	6	Quagga mussel	Dreissena bugensis		Canada, except in (a) the transboundary waters in Ontario, downstream of the bridge crossing the Pigeon River located at 48°00 ′ 05.1 ″ N 89°35 ′ 06.8 ″ W; (b) the boundary waters of the Canadian Great Lakes and connecting waterways, between the location of the bridge and the boundary between Ontario and Quebec; and (c) the boundary and transboundary waters in Quebec	British Columbia, Alberta, Saskatchewan and Manitoba	British Columbia, Alberta, Saskatchewan and Manitoba	British Columbia, Alberta, Saskatchewan and Manitoba
2	7	Any species of the snakehead family	Any species of the family Channidae	Dead and eviscerated		Ontario	Ontario	Ontario
2	8	Ruffe	Gymnocephalus cernua	Dead		Ontario and Manitoba	Ontario and Manitoba	Ontario and Manitoba
2	9	Rudd	Scardinius erythropthalmus	Dead		Ontario and Manitoba	Ontario and Manitoba	Ontario and Manitoba
2	10	Round goby	Neogobius melanostomus	Dead		Ontario and Manitoba	Ontario and Manitoba	Ontario and Manitoba
2	11	Tubenose goby	Proterorhinus semilunaris	Dead		Ontario and Manitoba	Ontario and Manitoba	Ontario and Manitoba
2	12	Sea lamprey	Petromyzon marinus	Dead		Manitoba	Manitoba	Manitoba
2	13	Arctic lamprey	Lethenteron camtschaticum	Dead		Manitoba	Manitoba	Manitoba
2	14	Siberian sturgeon	Acipenser baerii	Dead		Manitoba	Manitoba	Manitoba
2	15	Russian sturgeon	Acipenser gueldenstaedtii	Dead		Manitoba	Manitoba	Manitoba
