classification	common_name	scientific_name	condition
Fish	Any species of the snakehead family	Any species of the family Channidae	Dead and eviscerated
Fish	Alewife	Alosa pseudoharengus	Dead
Fish	American gizzard shad	Dorosoma cepedianum	Dead
Fish	Amur sleeper	Perccottus glenii	Dead
Fish	Arctic lamprey	Lethenteron camtschaticum	Dead
Fish	Barbel	Barbus barbus	Dead
Fish	Beluga sturgeon	Huso huso	Dead
Fish	Bighead carp	Hypophthalmichthys nobilis	Dead and eviscerated
Fish	Bitterling	All members of the genera Rhodeus and Tanakia	Dead
Fish	Black carp	Mylopharyngodon piceus	Dead and eviscerated
Fish	Blackspotted stickleback	Gasterosteus wheatlandi	Dead
Fish	Bowfin	Amia calva	Dead
Fish	Brindled madtom	Noturus miurus	Dead
Fish	Bullhead or Miller's thumb	Cottus gobio gobio	Dead
Fish	Carp bream	Abramis brama	Dead
Fish	Common dace	Leuciscus leuciscus	Dead
Fish	Crucian carp	Carassius carassius	Dead
Fish	Czekanowski's minnow	Phoxinus czekanowskii	Dead
Fish	Eurasian minnow	Phoxinus phoxinus	Dead
Fish	European chub	Leuciscus cephalus	Dead
Fish	European perch	Perca fluviatilis	Dead
Fish	Flathead catfish	Pylodictis olivaris	Dead
Fish	Fourspine stickleback	Apeltes quadracus	Dead
Fish	Freckeled madtom	Noturus nocturnus	Dead
Fish	Gizzard shad	Dorosoma cepedianum	Dead
Fish	Grass carp	Ctenopharyngodon idella	Dead and eviscerated
Fish	Green sunfish	Lepomis cyanellus	Dead
Fish	Gudgeon	Gobio gobio	Dead
Fish	Kutum	Rutilus frisii	Dead
Fish	Lake chubsucker	Erimyzon sucetta	Dead
Fish	Largescale silver carp	Hypophthalmichthys harmandi	Dead
Fish	Longear sunfish	Lepomis megalotis	Dead
Fish	Longnose gar	Lepisosteus osseus	Dead
Fish	Margined madtom	Norturus insignis	Dead
Fish	Northern madtom	Noturus stigmosus	Dead
Fish	Northern sunfish	Lepomis peltastes	Dead
Fish	Orangespotted sunfish	Lepomis humilis	Dead
Fish	Orfe or ide	Leuciscus idus	Dead
Fish	Oriental weatherfish	Misgurnus anguillicaudatus	Dead
Fish	Paddlefish	Polyodon spathula	Dead
Fish	Pallid sturgeon	Scaphirhynchus albus	Dead
Fish	Prussian carp	Carassius gibelio	Dead
Fish	Rainbow smelt	Osmerus mordax	Dead
Fish	Red shiner	Cyprinella lutrensis	Dead
Fish	Roach	Rutilus rutilus	Dead
Fish	Round goby	Neogobius melanostomus	Dead
Fish	Rudd	Scardinius erythropthalmus	Dead
Fish	Ruffe	Gymnocephalus cernuus	Dead
Fish	Russian sturgeon	Acipenser gueldenstaedtii	Dead
Fish	Schneider or chub	Alburnoides bipunctatus	Dead
Fish	Sea lamprey	Petromyzon marinus	Dead
Fish	Shortnose sturgeon	Acipenser brevirostrum	Dead
Fish	Shortnose gar	Lepisosteus platostomus	Dead
Fish	Shovelnose sturgeon	Scaphirhynchus platorynchus	Dead
Fish	Siberian sturgeon	Acipenser baerii	Dead
Fish	Silver carp	Hypophthalmichthys molitrix	Dead and eviscerated
Fish	Slender madtom	Noturus exilis	Dead
Fish	Spotted gar	Lepisosteus oculatus	Dead
Fish	Stellate sturgeon	Acipenser stellatus	Dead
Fish	Sterlet sturgeon	Acipenser ruthenus	Dead
Fish	Stone loach	Barbatula barbatula	Dead
Fish	Stone moroko	Pseudorasbora parva	Dead
Fish	Striped bass	Morone saxatilis and hybrids	Dead
Fish	Swamp minnow	Phoxinus perenurus	Dead
Fish	Tench	Tinca tinca	Dead
Fish	Thorn sturgeon	Acipenser nudiventris	Dead
Fish	Three-spined stickleback	Gasterosteus aculeatus	Dead
Fish	Tubenose goby	Proterorhinus semilunaris	Dead
Fish	Utah chub	Gila atraria	Dead
Fish	Vimba	Vimba vimba	Dead
Fish	Volga pikeperch	Sander volgensis or Sander marinus	Dead
Fish	Walking catfish	Clarias batrachus	Dead
Fish	Wels catfish	Silurus glanis	Dead
Fish	Western mosquitofish	Gambusia affinis	Dead
Fish	White catfish	Ameiurus catus	Dead
Fish	White cloud minnow	Tanichthys albonubes	Dead
Fish	White perch	Morone americana and hybrids	Dead
Fish	Yabby	Cherax destructor	Dead
Fish	Yellow bullhead	Ameiurus natalis	Dead
Fish	Yellow bass	Morone mississippiensis and hybrids	Dead
Fish	Zander	Sander lucioperca	Dead and eviscerated
Invertebrates	Apple snail	Pomacea canaliculata	n/a
Invertebrates	Asian clam	Corbicula fluminea	n/a
Invertebrates	Big-eared radix	Radix auricularia	n/a
Invertebrates	Bloody shrimp	Hemimysis anomala	n/a
Invertebrates	Chinese mystery snail	Cipangopaludina chinensis	n/a
Invertebrates	Conrad's (dark) false mussel	Mytilopsis leucophaeata	n/a
Invertebrates	Eubosmina coregoni	Eubosmina coregoni	n/a
Invertebrates	European fingernail clam	Sphaerium corneum	n/a
Invertebrates	European stream valvata	Valvata piscinalis	n/a
Invertebrates	Faucet snail	Bithynia tentaculata	n/a
Invertebrates	Fishhook waterflea	Cercopagis pengoi	n/a
Invertebrates	Freshwater jelly	Craspedacusta sowerbyi	n/a
Invertebrates	Golden mussel	Limnoperna fortunei	n/a
