tier	scientific_name	common_name	group	risk	n_ra	reg_level	reg_n_juris	accession	assembly_level	assembly_name	total_length	refseq_category	transcriptome_count	nuccore_count
A	Abramis brama	Bream	Fishes	High	2	Prohibited	1	GCA_022829085.1	Chromosome	ASM2282908v1	1067396354	reference genome		
A	Acipenser ruthenus	Sterlet	Fishes	High	1	Prohibited	2	GCF_902713425.1	Chromosome	fAciRut3.2 maternal haplotype	1899794300	reference genome		
A	Amia calva					Prohibited	2	GCA_017591415.1	Chromosome	AmiCal1	831002832	reference genome		
A	Apeltes quadracus	Fourspine Stickleback	Fishes	Low	6	Prohibited	1	GCA_048569185.1	Chromosome	Unibe_ApeQuad_male_1.0	475913512	reference genome		
A	Barbatula barbatula					Prohibited	1	GCF_947034865.1	Chromosome	fBarBar1.1	617646710	reference genome		
A	Botrylloides violaceus		Tunicate		1	Restricted	1	GCA_981691465.1	Chromosome	Genome assembly of Botrylloides violaceus	129131147	reference genome		
A	Botryllus schlosseri		Tunicate		1	Restricted	1	GCF_051294905.1	Chromosome	Bs_hap1	495547953	reference genome		
A	Carassius carassius	Crucian Carp	Fishes	High	8	Prohibited	4	GCF_963082965.1	Chromosome	fCarCar2.1	1684296438	reference genome		
A	Channa argus	Northern Snakehead	Fishes	High	7	Prohibited	5	GCF_033026475.1	Chromosome	Channa argus male v1.0	675457141	reference genome		
A	Ciona intestinalis		Tunicate		1	Restricted	1	GCF_018327825.1	Chromosome	ASM1832782v2	140258035	reference genome		
A	Cipangopaludina chinensis	Chinese Mysterysnail	Mollusk-Gastropoda	High	2	Prohibited	5	GCA_050437285.1	Chromosome	ASM5043728v1	1560258163	reference genome		
A	Cottus gobio	European Bullhead	Fishes	High	3	Prohibited	1	GCA_023566465.1	Chromosome	ASM2356646v1	645607472	reference genome		
A	Ctenopharyngodon idella	Grass carp	Fishes	Invasive	10	Prohibited	9	GCA_049919795.1	Complete Genome	ASM4991979v1	890918310			
A	Cyprinella lutrensis	Red shiner	Fishes	High	6	Prohibited	4	GCA_054825075.1	Chromosome	fCypLut1.hap1	926968418	reference genome		
A	Didemnum vexillum		Tunicate		1	Restricted	1	GCA_965643705.1	Chromosome	kaDidVexi2	829254971	reference genome		
A	Dreissena bugensis	Quagga Mussel	Mollusk-Bivalve	Invasive	6	Prohibited	13	GCA_055670145.1	Chromosome	ASM5567014v1	1613145916	reference genome		
A	Dreissena polymorpha	Zebra Mussel	Mollusk-Bivalve	Invasive	7	Prohibited	12	GCF_020536995.1	Chromosome	UMN_Dpol_1.0	1797942340	reference genome		
A	Eriocheir sinensis	Chinese Mitten Crab	Crustacean-Crab	High	4	Prohibited	6	GCF_024679095.1	Chromosome	ASM2467909v1	1765827443	reference genome		
A	Esox lucius	Northern pike	Fishes	High	1	Prohibited	2	GCF_011004845.1	Chromosome	fEsoLuc1.pri	918731919	reference genome		
A	Gambusia affinis	Western mosquitofish	Fishes	Invasive	10	Prohibited	5	GCF_019740435.1	Chromosome	SWU_Gaff_1.0	680149392	reference genome		
A	Gasterosteus aculeatus	Threespine Stickleback	Fishes	Invasive	7	Prohibited	3	GCF_964276395.1	Chromosome	fGasAcu3.hap1.1	511138727	reference genome		
A	Gobio gobio	Gudgeon	Fishes	High	1	Prohibited	1	GCF_949357685.1	Chromosome	fGobGob1.1	1460662624	reference genome		
A	Gymnocephalus cernua					Prohibited	10	GCA_023631565.1	Chromosome	fGymCer.pri	904342373	reference genome		
A	Huso huso	Beluga	Fishes	High	2	Prohibited	1	GCA_036884735.1	Chromosome	HHUS_1.1	1942381910	reference genome		
A	Hypophthalmichthys molitrix	Silver Carp	Fishes	High	9	Prohibited	11	GCA_037950675.1	Chromosome	Hypophthalmichthys_molitrix_1.0	853475415	reference genome		
A	Hypophthalmichthys nobilis	Bighead Carp	Fishes	High	9	Prohibited	11	GCA_037950665.1	Chromosome	Hypophthalmichthys_nobilis_1.0	863920326	reference genome		
A	Lepisosteus oculatus					Prohibited	1	GCF_040954835.1	Chromosome	fLepOcu1.hap2	1200589847	reference genome		
A	Leuciscus cephalus					Prohibited	1	GCF_949319135.1	Chromosome	fSquCep2.1	1101913912	reference genome		
A	Leuciscus idus	Ide	Fishes	High	5	Prohibited	5	GCA_021554675.1	Chromosome	fLeuIdu1.pri.20210917	1104030153	reference genome		
A	Leuciscus leuciscus	Eurasian dace	Fishes	High	3	Prohibited	1	GCF_965113295.1	Chromosome	fLeuLeu2.hap1.1	1198359543	reference genome		
A	Micropterus dolomieu	Smallmouth Bass	Fishes	High	1	Prohibited	2	GCF_021292245.1	Chromosome	ASM2129224v1	829570727	reference genome		
A	Micropterus salmoides	Largemouth Bass	Fishes	High	1	Prohibited	2	GCA_056957295.1	Complete Genome	T2T_MSal_M1.0	873867271			
A	Misgurnus anguillicaudatus	Oriental Weatherfish	Fishes	Invasive	8	Prohibited	6	GCF_027580225.2	Chromosome	ASM2758022v2	1120296596	reference genome		
A	Mylopharyngodon piceus	Black Carp	Fishes	High	7	Prohibited	11	GCA_049864055.1	Chromosome	ASM4986405v1	893890919	reference genome		
A	Osmerus mordax	Rainbow Smelt	Fishes	Invasive	8	Prohibited	5	GCF_038355195.1	Chromosome	fOsmMor3.pri	497673479	reference genome		
A	Perca flavescens	Yellow Perch	Fishes	High	1	Prohibited	2	GCF_004354835.1	Chromosome	PFLA_1.0	877439799	reference genome		
A	Petromyzon marinus	Sea Lamprey	Fishes	Invasive	7	Prohibited	9	GCF_048934315.1	Chromosome	UKy_Petmar_22M1.pri1.0	1808332251	reference genome		
A	Phoxinus phoxinus	Eurasian minnow	Fishes	High	7	Prohibited	4	GCF_949152265.1	Chromosome	fPhoPho1.1	950479694	reference genome		
